config_id,temperature,lr,z_dim,batch_size,weight_decay,fold,probe,balanced_accuracy
config_38,0.7,1e-05,512,256,0.0,1,mlp,0.4933333333333333
config_35,0.3,0.001,512,256,0.0,3,knn,0.8333333333333333
config_33,0.3,1e-05,128,1024,0.0,2,mlp,0.6
config_37,0.3,1e-05,512,256,0.0,2,mlp,0.6166666666666666
config_38,0.7,1e-05,512,256,0.0,2,knn,0.6833333333333333
config_39,0.5,0.0001,512,1024,1e-05,3,mlp,0.7
config_39,0.5,0.0001,512,1024,1e-05,2,mlp,0.638095238095238
config_38,0.7,1e-05,512,256,0.0,4,mlp,0.8333333333333333
config_4,0.7,0.0001,512,1024,0.0,0,knn,0.9047619047619048
config_39,0.5,0.0001,512,1024,1e-05,4,mlp,0.7266666666666667
config_39,0.5,0.0001,512,1024,1e-05,1,knn,0.798095238095238
config_39,0.5,0.0001,512,1024,1e-05,4,knn,0.8933333333333333
config_39,0.5,0.0001,512,1024,1e-05,0,knn,0.9333333333333332
config_4,0.7,0.0001,512,1024,0.0,4,mlp,0.7933333333333332
config_4,0.7,0.0001,512,1024,0.0,1,mlp,0.6714285714285715
config_39,0.5,0.0001,512,1024,1e-05,1,mlp,0.7314285714285714
config_38,0.7,1e-05,512,256,0.0,3,mlp,0.7333333333333333
config_37,0.3,1e-05,512,256,0.0,4,knn,0.8333333333333333
config_40,0.5,0.0001,512,1024,0.0001,0,mlp,0.638095238095238
config_4,0.7,0.0001,512,1024,0.0,0,mlp,0.638095238095238
config_4,0.7,0.0001,512,1024,0.0,4,knn,0.8933333333333333
config_4,0.7,0.0001,512,1024,0.0,2,mlp,0.7047619047619047
config_4,0.7,0.0001,512,1024,0.0,3,knn,0.7666666666666667
config_40,0.5,0.0001,512,1024,0.0001,0,knn,0.9333333333333332
config_40,0.5,0.0001,512,1024,0.0001,3,mlp,0.7
config_40,0.5,0.0001,512,1024,0.0001,2,mlp,0.638095238095238
config_41,0.5,0.001,512,1024,1e-05,3,mlp,0.6333333333333333
config_41,0.5,0.001,512,1024,1e-05,1,knn,0.7095238095238094
config_40,0.5,0.0001,512,1024,0.0001,1,mlp,0.7314285714285714
config_38,0.7,1e-05,512,256,0.0,4,knn,0.8333333333333333
config_4,0.7,0.0001,512,1024,0.0,2,knn,0.7047619047619047
config_41,0.5,0.001,512,1024,1e-05,0,mlp,0.8
config_41,0.5,0.001,512,1024,1e-05,2,mlp,0.8047619047619048
config_39,0.5,0.0001,512,1024,1e-05,3,knn,0.8333333333333333
config_40,0.5,0.0001,512,1024,0.0001,1,knn,0.798095238095238
config_40,0.5,0.0001,512,1024,0.0001,3,knn,0.8333333333333333
config_4,0.7,0.0001,512,1024,0.0,3,mlp,0.5
config_39,0.5,0.0001,512,1024,1e-05,2,knn,0.7047619047619047
config_40,0.5,0.0001,512,1024,0.0001,2,knn,0.7047619047619047
config_38,0.7,1e-05,512,256,0.0,3,knn,0.8
config_41,0.5,0.001,512,1024,1e-05,0,knn,0.9333333333333332
config_4,0.7,0.0001,512,1024,0.0,1,knn,0.7314285714285714
config_41,0.5,0.001,512,1024,1e-05,3,knn,0.8333333333333333
config_42,0.5,0.001,512,1024,0.0001,4,mlp,0.76
config_41,0.5,0.001,512,1024,1e-05,1,mlp,0.6314285714285715
config_5,1.0,0.0001,512,1024,0.0,2,mlp,0.7047619047619047
config_42,0.5,0.001,512,1024,0.0001,3,knn,0.8333333333333333
config_5,1.0,0.0001,512,1024,0.0,1,mlp,0.7314285714285714
config_40,0.5,0.0001,512,1024,0.0001,4,mlp,0.7266666666666667
config_42,0.5,0.001,512,1024,0.0001,3,mlp,0.6333333333333333
config_5,1.0,0.0001,512,1024,0.0,0,knn,0.8666666666666666
config_41,0.5,0.001,512,1024,1e-05,4,knn,0.7933333333333332
config_42,0.5,0.001,512,1024,0.0001,1,mlp,0.6314285714285715
config_42,0.5,0.001,512,1024,0.0001,1,knn,0.7095238095238094
config_42,0.5,0.001,512,1024,0.0001,0,knn,0.9333333333333332
config_41,0.5,0.001,512,1024,1e-05,2,knn,0.8047619047619048
config_5,1.0,0.0001,512,1024,0.0,2,knn,0.7047619047619047
config_42,0.5,0.001,512,1024,0.0001,2,mlp,0.8047619047619048
config_5,1.0,0.0001,512,1024,0.0,1,knn,0.7314285714285714
config_40,0.5,0.0001,512,1024,0.0001,4,knn,0.8933333333333333
config_41,0.5,0.001,512,1024,1e-05,4,mlp,0.7266666666666667
config_42,0.5,0.001,512,1024,0.0001,4,knn,0.8266666666666665
config_5,1.0,0.0001,512,1024,0.0,3,mlp,0.6333333333333333
config_39,0.5,0.0001,512,1024,1e-05,0,mlp,0.7047619047619047
config_42,0.5,0.001,512,1024,0.0001,2,knn,0.8047619047619048
config_5,1.0,0.0001,512,1024,0.0,3,knn,0.7666666666666667
config_5,1.0,0.0001,512,1024,0.0,4,mlp,0.8266666666666665
config_6,0.5,0.0001,128,1024,0.0,3,knn,0.9
config_6,0.5,0.0001,128,1024,0.0,0,mlp,0.8
config_6,0.5,0.0001,128,1024,0.0,1,mlp,0.6314285714285715
config_6,0.5,0.0001,128,1024,0.0,2,knn,0.7833333333333333
config_5,1.0,0.0001,512,1024,0.0,4,knn,0.8266666666666665
